프로젝트경로,리모트URL,마지막커밋일,커밋수,주요언어
"/home/hyun02063185/dify","https://github.com/langgenius/dify.git","2026-06-04T11:06:17Z","1","TypeScript"
"/home/hyun02063185/nanoclaw","https://github.com/hyun02063185-AX-beginner/nanoclaw.git","2026-09-02T16:37:57+09:00","1736","TypeScript"
"/home/hyun02063185/science-qbank","https://github.com/hyun02063185-AX-beginner/science-qbank.git","2026-06-21T16:42:12+09:00","16","Python"
"/home/hyun02063185/science-qbank-v2","https://github.com/hyun02063185-AX-beginner/science-qbank-v2.git","2026-07-25T18:15:05+09:00","87","Python"
