"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\recommendations\glassesRecommendations.js","glassesRecommendations.js","js","2.06","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\recommendations\studentRecommendations.js","studentRecommendations.js","js","6.35","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\storage\sessionStore.js","sessionStore.js","js","1.72","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\mockup\app.js","app.js","js","17.86","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\mockup\index.html","index.html","html","9.48","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\mockup\README.md","README.md","md","1.2","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\mockup\styles.css","styles.css","css","12.9","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\scripts\buildCheck.js","buildCheck.js","js","1.01","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\tests\runTests.js","runTests.js","js","1.88","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\tests\harness\runHarness.js","runHarness.js","js","7.35","2026-06-30","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\index.html","index.html","html","0.31","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\package-lock.json","package-lock.json","json","44.52","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\package.json","package.json","json","0.5","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\tsconfig.json","tsconfig.json","json","0.52","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\tsconfig.node.json","tsconfig.node.json","json","0.23","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\vite.config.ts","vite.config.ts","ts","0.18","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\01_game_design\tarot_game_design_v1.md","tarot_game_design_v1.md","md","4.16","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\01_game_design\tarot_uiux_flow_v1.md","tarot_uiux_flow_v1.md","md","2.9","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\02_development\tarot_development_instruction_v1.md","tarot_development_instruction_v1.md","md","2.09","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\03_content\tarot_card_content_policy_v1.md","tarot_card_content_policy_v1.md","md","2.59","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\04_quality\tarot_acceptance_criteria_v1.md","tarot_acceptance_criteria_v1.md","md","1.88","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\04_quality\tarot_agent_and_harness_design_v1.md","tarot_agent_and_harness_design_v1.md","md","1.98","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\05_implementation\tarot_implementation_plan_v1.md","tarot_implementation_plan_v1.md","md","1.44","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\vite-env.d.ts","vite-env.d.ts","ts","0.04","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\data\tarot\darkReadingTemplates.ts","darkReadingTemplates.ts","ts","0.87","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\data\tarot\majorArcana.ts","majorArcana.ts","ts","6.81","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\lib\tarot\composeReading.ts","composeReading.ts","ts","6.45","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\lib\tarot\drawCards.ts","drawCards.ts","ts","1.5","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\lib\tarot\gameState.ts","gameState.ts","ts","1.86","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\lib\tarot\safetyFilters.ts","safetyFilters.ts","ts","0.93","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\styles\tarot.css","tarot.css","css","10.52","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\tests\tarot\tarotContentTone.test.ts","tarotContentTone.test.ts","ts","2.71","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\tests\tarot\tarotGameFlow.test.ts","tarotGameFlow.test.ts","ts","2.44","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\tests\tarot\tarotHiddenCard.test.ts","tarotHiddenCard.test.ts","ts","2.87","2026-07-01","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\next-env.d.ts","next-env.d.ts","ts","0.26","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\package-lock.json","package-lock.json","json","75.3","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\package.json","package.json","json","0.6","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\PROGRESS.md","PROGRESS.md","md","24.03","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\tailwind.config.ts","tailwind.config.ts","ts","0.48","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\tsconfig.json","tsconfig.json","json","0.59","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\globals.css","globals.css","css","0.63","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\route.ts","route.ts","ts","1.1","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\route.ts","route.ts","ts","1.68","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\ai\regenerate\route.ts","route.ts","ts","2.06","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\export\bundle\route.ts","route.ts","ts","2.51","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\export\markdown\route.ts","route.ts","ts","1.08","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\sources\brief\route.ts","route.ts","ts","0.86","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\sources\collect\route.ts","route.ts","ts","1.09","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\data\index.json","index.json","json","0.43","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\data\projects\prj_1781240144578.json","prj_1781240144578.json","json","59.02","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\~$lecture_slides.pptx","~$lecture_slides.pptx","pptx","0.16","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\01_project_summary.md","01_project_summary.md","md","5.62","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\02_demand_insight.md","02_demand_insight.md","md","1.92","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\03_topic_candidates.md","03_topic_candidates.md","md","2.14","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\04_lecture_outline.md","04_lecture_outline.md","md","2.16","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\05_detailed_lecture.md","05_detailed_lecture.md","md","8.6","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\06_slide_storyboard.md","06_slide_storyboard.md","md","37.28","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\07_speaker_notes.md","07_speaker_notes.md","md","11.46","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\08_instructor_guide.md","08_instructor_guide.md","md","42.49","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\lecture_slides.pptx","lecture_slides.pptx","pptx","1137.53","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\project_bundle.zip","project_bundle.zip","zip","86.49","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578\slide_contact_sheet.html","slide_contact_sheet.html","html","34.52","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\domain\default-project-data.ts","default-project-data.ts","ts","6.12","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\domain\dummy-data.ts","dummy-data.ts","ts","18.44","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\domain\normalize-project-data.ts","normalize-project-data.ts","ts","7.63","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\ai\ai-provider.ts","ai-provider.ts","ts","0.42","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\ai\external-ai-provider.ts","external-ai-provider.ts","ts","16.9","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\ai\schemas.ts","schemas.ts","ts","18.02","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\markdown\markdown-exporter.ts","markdown-exporter.ts","ts","10.12","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\slides\contact-sheet-generator.ts","contact-sheet-generator.ts","ts","4.45","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\slides\pptx-generator.ts","pptx-generator.ts","ts","17.76","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\slides\slide-themes.ts","slide-themes.ts","ts","3.79","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\slides\zip-exporter.ts","zip-exporter.ts","ts","1.49","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\sources\source-brief-provider.ts","source-brief-provider.ts","ts","4.33","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\sources\source-collector.ts","source-collector.ts","ts","4.16","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\storage\local-file-storage-provider.ts","local-file-storage-provider.ts","ts","8.69","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\storage\shared.ts","shared.ts","ts","0.14","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\storage\storage-provider.ts","storage-provider.ts","ts","0.72","2026-06-12","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\types\index.ts","index.ts","ts","4.02","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\01_AX_Lecture_Studio_기능설계서_원본.md","01_AX_Lecture_Studio_기능설계서_원본.md","md","28.61","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\01_AX_Lecture_Studio_기능설계서.md","01_AX_Lecture_Studio_기능설계서.md","md","28.61","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\02_AX_Lecture_Studio_서비스기능명세서.md","02_AX_Lecture_Studio_서비스기능명세서.md","md","6.09","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\03_AX_Lecture_Studio_UI_UX설계서.md","03_AX_Lecture_Studio_UI_UX설계서.md","md","8.86","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\04_AX_Lecture_Studio_시스템아키텍처설계서.md","04_AX_Lecture_Studio_시스템아키텍처설계서.md","md","6.18","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\05_AX_Lecture_Studio_데이터모델_저장구조설계서.md","05_AX_Lecture_Studio_데이터모델_저장구조설계서.md","md","6.09","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\06_AX_Lecture_Studio_내부API명세서.md","06_AX_Lecture_Studio_내부API명세서.md","md","4.57","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\07_AX_Lecture_Studio_AI기능_프롬프트_JSON설계서.md","07_AX_Lecture_Studio_AI기능_프롬프트_JSON설계서.md","md","6.66","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\08_AX_Lecture_Studio_PPTX출력_슬라이드템플릿설계서.md","08_AX_Lecture_Studio_PPTX출력_슬라이드템플릿설계서.md","md","3.93","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\09_AX_Lecture_Studio_오류처리_보안_운영정책.md","09_AX_Lecture_Studio_오류처리_보안_운영정책.md","md","3.16","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\10_AX_Lecture_Studio_테스트시나리오_수용기준.md","10_AX_Lecture_Studio_테스트시나리오_수용기준.md","md","4.26","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지\11_AX_Lecture_Studio_바이브코딩_개발지시서.md","11_AX_Lecture_Studio_바이브코딩_개발지시서.md","md","4.85","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\.eslintrc.json",".eslintrc.json","json","0.04","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\01_AX_Lecture_Studio_기능설계서_원본.md","01_AX_Lecture_Studio_기능설계서_원본.md","md","28.61","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\next-env.d.ts","next-env.d.ts","ts","0.26","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\package-lock.json","package-lock.json","json","197.71","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\package.json","package.json","json","0.59","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\README.md","README.md","md","0.91","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\tsconfig.json","tsconfig.json","json","0.59","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\01_project_summary.md","01_project_summary.md","md","0.67","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\02_demand_insight.md","02_demand_insight.md","md","1.26","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\03_topic_candidates.md","03_topic_candidates.md","md","0.63","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\04_lecture_outline.md","04_lecture_outline.md","md","1.08","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\05_detailed_lecture.md","05_detailed_lecture.md","md","3.06","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\06_slide_storyboard.md","06_slide_storyboard.md","md","3.32","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\07_speaker_notes.md","07_speaker_notes.md","md","1.12","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\lecture_slides.pptx","lecture_slides.pptx","pptx","129.02","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\project_bundle.zip","project_bundle.zip","zip","159.73","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001\project_data.json","project_data.json","json","18.5","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\app\globals.css","globals.css","css","7.16","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\app\api\export\route.ts","route.ts","ts","1.57","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\app\api\files\[...file]\route.ts","route.ts","ts","1.49","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\lib\exporter.ts","exporter.ts","ts","9.73","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\lib\sample-data.ts","sample-data.ts","ts","16.77","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\types\studio.ts","studio.ts","ts","3.23","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\완성_완료_보고서.md","완성_완료_보고서.md","md","3.92","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Chk_01.md","Chk_01.md","md","0.7","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Chk_02.md","Chk_02.md","md","0.78","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Chk_03.md","Chk_03.md","md","0.8","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Chk_04.md","Chk_04.md","md","0.69","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Chk_05.md","Chk_05.md","md","0.73","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Chk_06.md","Chk_06.md","md","0.79","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Dev_01.md","Dev_01.md","md","1.04","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Dev_02.md","Dev_02.md","md","1.19","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Dev_03.md","Dev_03.md","md","0.98","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Dev_04.md","Dev_04.md","md","0.97","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Dev_05.md","Dev_05.md","md","0.87","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\Dev_06.md","Dev_06.md","md","0.92","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\orchestration\agent-check.md","agent-check.md","md","0.63","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\orchestration\agent-dev.md","agent-dev.md","md","0.69","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\orchestration\README.md","README.md","md","0.79","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\orchestration\run-report.md","run-report.md","md","1.86","2026-06-11","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급\찬반투표_페이지_기능설계서.md","찬반투표_페이지_기능설계서.md","md","23.51","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급\app.js","app.js","js","16.14","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급\index.html","index.html","html","9.04","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급\styles.css","styles.css","css","9.54","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\next-env.d.ts","next-env.d.ts","ts","0.15","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\next.config.ts","next.config.ts","ts","0.15","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\package.json","package.json","json","0.67","2026-06-09","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\tsconfig.json","tsconfig.json","json","0.58","2026-06-09","Desktop","AX강사준비"
