"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\08_Day_08_Use_Case_포트폴리오와_우선순위_개별워크북.pdf","08_Day_08_Use_Case_포트폴리오와_우선순위_개별워크북.pdf","pdf","561","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\09_Day_09_Pilot_Charter와_90일_실행_개별워크북.pdf","09_Day_09_Pilot_Charter와_90일_실행_개별워크북.pdf","pdf","516.04","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\10_Day_10_AI-augmented_Engineering_4단계_개별워크북.pdf","10_Day_10_AI-augmented_Engineering_4단계_개별워크북.pdf","pdf","537.98","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\11_Day_11_AX_서비스_통합_설계_개별워크북.pdf","11_Day_11_AX_서비스_통합_설계_개별워크북.pdf","pdf","528.39","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\12_Day_12_책임_있는_AX_거버넌스_신뢰_개별워크북.pdf","12_Day_12_책임_있는_AX_거버넌스_신뢰_개별워크북.pdf","pdf","556.71","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\13_Day_13_AX_KPI_ROI_설계_개별워크북.pdf","13_Day_13_AX_KPI_ROI_설계_개별워크북.pdf","pdf","535.91","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\14_Day_14_조직_인재_변화관리_개별워크북.pdf","14_Day_14_조직_인재_변화관리_개별워크북.pdf","pdf","601.75","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\15_Day_15_4시간_AX_개인_실습_설계_개별워크북.pdf","15_Day_15_4시간_AX_개인_실습_설계_개별워크북.pdf","pdf","593.26","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서\16_Day_16_마이크로티칭_피드백_인증_개별워크북.pdf","16_Day_16_마이크로티칭_피드백_인증_개별워크북.pdf","pdf","561.31","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\00_ChatGPT Image 2026년 5월 29일 오후 06_50_40.png","00_ChatGPT Image 2026년 5월 29일 오후 06_50_40.png","png","2781.93","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\00_ChatGPT Image 2026년 6월 7일 오후 08_36_40.png","00_ChatGPT Image 2026년 6월 7일 오후 08_36_40.png","png","2811.41","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\01_AI_에이전트_동작_구성.png","01_AI_에이전트_동작_구성.png","png","1289.29","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\02_AI 에이전트 구성 설계.pdf","02_AI 에이전트 구성 설계.pdf","pdf","1514.4","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\03_AI_에이전트_구성_정리.pdf","03_AI_에이전트_구성_정리.pdf","pdf","310.54","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\머신.png","머신.png","png","2307.92","2026-06-08","Desktop","AX강사준비"
