"폴더경로","파일수","총용량MB","가장오래된수정일","가장최근수정일","상위확장자3개"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\찬반투표_서비스_개발문서","11","0.07","2026-06-09","2026-06-09","md(11)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\한기대\공문","11","2.03","2022-11-18","2022-11-18","pdf(6)|docx(1)|hwp(1)"
"C:\Users\hyun0\Documents\WAPL\주간업무","11","2.1","2022-09-19","2022-11-15","docx(6)|pptx(4)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\한기대\공문","11","2.03","2022-10-17","2022-11-09","pdf(6)|docx(1)|hwp(1)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영기획_사업계획","11","5.12","2022-10-18","2022-10-26","xlsx(6)|jpg(4)|pptx(1)"
"C:\Users\hyun0\Documents\알티노\python(AltinoLite)\serial","10","0.16","2025-07-09","2025-07-09","py(10)"
"C:\Users\hyun0\Desktop\ISMS","10","62.5","2024-04-22","2024-07-09","pdf(6)|png(2)|docx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001","10","0.31","2026-06-11","2026-06-11","md(7)|json(1)|pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab","10","0.09","2026-06-29","2026-06-29","json(6)|ts(2)|html(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강","10","0.29","2026-06-08","2026-06-09","ts(4)|json(3)|md(3)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2","10","0.49","2026-06-05","2026-06-08","json(3)|md(3)|ts(3)"
"C:\Users\hyun0\Documents\파이선\chapter10","10","0","2015-11-30","2021-10-16","py(10)"
"C:\Users\hyun0\Documents\WAPL\제품소개","9","765.52","2022-10-18","2022-11-17","pptx(8)|pdf(1)"
"C:\Users\hyun0\Documents\WAPL\비즈메카","9","22.14","2022-07-20","2022-11-18","docx(4)|pptx(4)|xlsx(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\images","9","1.56","2024-12-05","2024-12-05","png(8)|jpg(1)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\SP팀서칭","9","6.1","2022-11-01","2022-11-02","pdf(9)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\DOCS\SVN-specific manuals\data\images","9","0.24","2013-01-24","2013-01-24","png(9)"
"C:\Users\hyun0\Documents\보험","9","11.76","2022-09-11","2022-09-11","pdf(9)"
"C:\Users\hyun0\Documents\WAPL\사업현황점검","9","0.24","2022-09-15","2022-10-21","xlsx(9)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\서울시교육청 협업솔루션 구축사업_220926\4. 고객사 제출자료","9","46.72","2022-09-26","2022-09-26","xlsx(5)|pptx(2)|docx(1)"
"C:\Users\hyun0\Documents\WAPL\정책들","9","4.58","2022-10-18","2022-10-31","docx(7)|xlsx(2)"
"C:\Users\hyun0\Documents\보험\~BROMIUM","9","0.01","2022-09-11","2022-09-11","pdf(9)"
"C:\Users\hyun0\Desktop\ISMS\연관자료","9","51.62","2024-04-25","2024-07-05","pdf(9)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\DOCS\SVN-specific manuals\data","8","0.23","2013-01-24","2015-01-25","html(8)"
"C:\Users\hyun0\Documents\WAPL\포스코 캔디 유지보수","8","5.59","2022-10-24","2022-11-14","pptx(5)|pdf(2)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\public\generated\published","8","17.9","2026-06-08","2026-06-08","png(8)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\DOCS","8","0.1","2014-01-25","2015-01-25","txt(8)"
"C:\Users\hyun0\Documents\WAPL\공수기반견적체계","8","0.65","2022-10-13","2022-10-26","xlsx(6)|pdf(1)|png(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\lib","8","0.01","2026-06-09","2026-06-09","ts(8)"
"C:\Users\hyun0\Documents\알티노\알티노 학습","8","110.15","2025-07-18","2025-07-26","py(4)|zip(4)"
"C:\Users\hyun0\Documents\알티노\python(AltinoLite)\serial\tools","8","0.08","2025-07-09","2025-07-09","py(8)"
"C:\Users\hyun0\Documents","7","6.09","2021-10-16","2026-09-03","pdf(5)|jpg(1)|zip(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\lib","7","0.02","2026-06-05","2026-06-05","ts(7)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\서울시교육청 협업솔루션 구축사업_220926\4. 고객사 제출자료\~BROMIUM","7","0.01","2022-09-26","2022-09-26","xlsx(3)|pptx(2)|docx(1)"
"C:\Users\hyun0\Documents\WAPL\정책들\~BROMIUM","7","0.01","2022-10-21","2022-10-31","docx(7)"
"C:\Users\hyun0\Documents\WAPL\조직운영\직무조사","7","0.17","2022-10-07","2022-11-01","xlsx(7)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기","7","0.26","2026-06-05","2026-06-09","json(3)|ts(2)|md(1)"
"C:\Users\hyun0\Documents\알티노\python(AltinoLite)\serial\urlhandler","7","0.05","2025-07-09","2025-07-09","py(7)"
"C:\Users\hyun0\Documents\WAPL\WAPL Talk","7","10.51","2022-10-25","2022-11-17","pptx(6)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\Sapify","7","5.36","2022-10-04","2022-10-14","pptx(3)|xlsx(2)|docx(1)"
"C:\Users\hyun0\Documents\WAPL\KG그룹","7","11.83","2022-11-03","2022-11-09","xlsx(4)|pptx(3)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증","7","0.77","2022-08-24","2022-11-14","docx(3)|xlsx(2)|pdf(1)"
"C:\Users\hyun0\Documents\알티노\python(AltinoLite)","7","0.01","2025-07-09","2025-07-26","py(7)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중","7","0.22","2026-06-10","2026-06-11","json(4)|md(2)|ts(1)"
"C:\Users\hyun0\Documents\WAPL\한기대\계약서\~BROMIUM","7","0","2022-10-17","2022-11-14","pdf(7)"
"C:\Users\hyun0\Documents\WAPL\한기대\계약서","7","5.34","2022-10-17","2022-11-14","pdf(7)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\면접후보","7","4.61","2022-11-14","2022-11-14","pdf(7)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\면접후보\~BROMIUM","7","0","2022-11-14","2022-11-14","pdf(7)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\한기대\계약서","7","5.34","2022-11-18","2022-11-18","pdf(7)"
"C:\Users\hyun0\Documents\WAPL\충남대\충남대_기술지원이력(2022)\~BROMIUM","7","0","2022-11-03","2022-11-08","pdf(7)"
"C:\Users\hyun0\Documents\WAPL\충남대\충남대_기술지원이력(2022)","7","2.16","2022-11-03","2022-11-08","pdf(7)"
"C:\Users\hyun0\Desktop","7","3.36","2026-06-17","2026-07-15","md(2)|pdf(2)|txt(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\02_development","7","0.03","2026-06-30","2026-06-30","md(7)"
"C:\Users\hyun0\Desktop\강의자료\251223_송파문현고","7","200.09","2025-11-26","2025-12-21","hwp(3)|jpg(2)|pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\01_planning","7","0.03","2026-06-30","2026-06-30","md(7)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기","6","0.1","2026-06-10","2026-06-11","json(3)|ts(2)|md(1)"
"C:\Users\hyun0\Documents\AICE\제출용","6","1.41","2024-11-27","2024-11-27","jpg(3)|hwp(1)|pdf(1)"
"C:\Users\hyun0\Documents\파이선\chapter15","6","0","2016-03-07","2016-03-16","py(6)"
"C:\Users\hyun0\Documents\파이선\chapter14","6","0","2015-12-07","2021-10-28","py(5)|sql(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\시큐어원_보안점검업체","6","1.48","2022-09-05","2022-10-20","pdf(3)|docx(1)|html(1)"
"C:\Users\hyun0\Documents\파이선\chapter11","6","0","2015-11-30","2015-12-02","py(6)"
"C:\Users\hyun0\Desktop\ISMS\연습문제","6","347.02","2024-06-05","2024-06-22","pdf(3)|zip(2)|docx(1)"
"C:\Users\hyun0\Documents\파이선\chapter08","6","0","2015-11-29","2015-11-30","py(6)"
"C:\Users\hyun0\Documents\파이선\chapter04\4-1","6","0","2015-11-10","2015-11-12","py(6)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\SP팀장서칭\SP팀장후보3","6","4.33","2022-11-11","2022-11-11","pdf(6)"
"C:\Users\hyun0\Documents\김현래","6","5.24","2022-09-23","2022-10-31","pdf(4)|docx(2)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\서울시교육청","6","2.05","2022-11-18","2022-11-18","hwp(3)|pdf(1)|txt(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드","6","0.05","2026-07-01","2026-07-01","json(4)|html(1)|ts(1)"
"C:\Users\hyun0\Downloads\[PC98] L'Empereur (1990)","6","0.32","2011-12-01","2015-11-19","png(4)|hwp(1)|txt(1)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\SP팀장서칭\SP팀장후보1","6","5.51","2022-10-30","2022-10-30","pdf(6)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\7번 이미지\가위","6","0.42","2024-11-15","2024-11-15","png(6)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\7번 이미지\바위","6","0.44","2024-11-15","2024-11-15","png(6)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\진행중","6","2.3","2022-10-03","2022-11-15","hwp(3)|pdf(1)|pptx(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\서울시교육청 협업솔루션 구축사업_220926\1. 회의록\~BROMIUM","6","0","2022-09-26","2022-09-26","docx(6)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\서울시교육청 협업솔루션 구축사업_220926\1. 회의록","6","0.09","2022-09-26","2022-09-26","docx(6)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs","6","0.06","2026-06-17","2026-06-17","json(3)|ts(2)|md(1)"
"C:\Users\hyun0\Documents\WAPL\사업&DoTo","6","0.21","2022-11-09","2022-11-11","xlsx(6)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\한기대","6","0.24","2022-11-18","2022-11-18","docx(4)|txt(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\ai","6","0.01","2026-06-30","2026-06-30","js(6)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업","6","79.89","2026-05-29","2026-07-10","html(2)|pdf(2)|zip(2)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\2장\1. 함수\프로젝트\노인","6","0.14","2024-11-15","2024-11-15","jpg(5)|png(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\3회\활용데이터\7번 이미지\하이에나","6","0.51","2024-11-15","2024-11-15","jpg(6)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\3회\활용데이터\7번 이미지\치타","6","0.41","2024-11-15","2024-11-15","jpg(6)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\7번 이미지\보","6","0.46","2024-11-15","2024-11-15","png(6)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\CSAP\시큐어원_보안점검업체","6","1.48","2022-11-18","2022-11-18","pdf(3)|docx(1)|html(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AI_용어집","5","2.02","2026-06-23","2026-06-25","pdf(5)"
"C:\Users\hyun0\Documents\WAPL\한기대","5","0.24","2022-09-05","2022-11-09","docx(4)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러","5","0.07","2026-06-30","2026-06-30","md(3)|js(1)|json(1)"
