"폴더경로","파일수","총용량MB","가장오래된수정일","가장최근수정일","상위확장자3개"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2","4","0","2026-06-09","2026-06-09","json(2)|ts(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\recommendations","4","0.01","2026-06-30","2026-06-30","js(4)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\3장\1. 엑셀 데이터 활용하기\문제\엑셀 데이터","4","0.04","2024-11-15","2024-11-15","xlsx(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급","4","0.06","2026-06-09","2026-06-09","css(1)|html(1)|js(1)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영기획_사업계획\보고용","4","1.39","2022-10-26","2022-10-26","xlsx(3)|pptx(1)"
"C:\Users\hyun0\Desktop\강의자료\예송중","4","230.72","2025-07-21","2025-07-22","pdf(2)|pptx(2)"
"C:\Users\hyun0\Documents\파이선\chapter09\ch09","3","0","2016-03-12","2016-03-12","py(3)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\lib\ai","3","0","2026-06-09","2026-06-09","ts(3)"
"C:\Users\hyun0\Documents\파이선\chapter07\ch07","3","0","2015-11-29","2016-01-24","py(3)"
"C:\Users\hyun0\Documents\파이선\chapter08\ch08","3","0","2015-11-30","2016-01-24","py(3)"
"C:\Users\hyun0\Documents\파이선\chapter04\4-2","3","0","2016-03-16","2016-03-16","py(3)"
"C:\Users\hyun0\Documents\파이선\chapter03\ch03","3","0","2016-01-23","2016-03-15","py(3)"
"C:\Users\hyun0\Documents\WAPL\채용\SP팀JD","3","0.11","2022-10-27","2022-11-14","docx(2)|pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\05_development","3","0.01","2026-06-17","2026-06-17","md(3)"
"C:\Users\hyun0\Documents\WAPL\사간정산","3","0.47","2022-09-20","2022-09-22","xlsx(3)"
"C:\Users\hyun0\Documents\WAPL\조직운영\CS팀운영","3","0.08","2022-11-01","2022-11-09","xlsx(3)"
"C:\Users\hyun0\Documents\파이선\chapter13\ch13","3","0","2016-03-13","2016-03-13","py(3)"
"C:\Users\hyun0\Documents\파이선\chapter14\ch14","3","0","2016-03-13","2016-03-13","py(3)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\4장\2. 안면 인식 기술과 감정 분석\교재활용_이미지","3","0.43","2024-11-15","2024-11-15","jpg(3)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\4장\1. 광학 문자인식(OCR)\실전문제_문제\이미지","3","0.11","2024-11-15","2024-11-15","png(2)|jpg(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\3장\1. 엑셀 데이터 활용하기\프로젝트","3","0.03","2024-11-15","2024-11-15","xlsx(3)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\SP팀장서칭\SP팀장후보2","3","3.16","2022-11-01","2022-11-01","pdf(3)"
"C:\Users\hyun0\Documents\파이선\chapter16\ch16","3","0","2016-03-13","2016-03-13","py(3)"
"C:\Users\hyun0\Documents\AICE","3","9.87","2024-11-15","2025-08-29","zip(2)|pdf(1)"
"C:\Users\hyun0\Documents\AICE\교사신청","3","0.47","2025-02-20","2025-02-20","pdf(1)|png(1)|xlsx(1)"
"C:\Users\hyun0\Documents\파이선\chapter10\ch10","3","0","2016-03-12","2016-03-12","py(3)"
"C:\Users\hyun0\Documents\카카오톡 받은 파일\SQL과제","3","0.03","2024-06-27","2024-11-01","hwp(2)|docx(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\시큐어원_보안점검업체\~BROMIUM","3","0","2022-10-18","2022-10-18","pdf(3)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\tests\tarot","3","0.01","2026-07-01","2026-07-01","ts(3)"
"C:\Users\hyun0\Documents\WAPL\GS인증","3","3.51","2022-09-13","2022-09-14","docx(1)|pptx(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\ai","3","0.03","2026-06-10","2026-06-12","ts(3)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\domain","3","0.03","2026-06-10","2026-06-11","ts(3)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\인증진행_재검토","3","0.04","2022-11-01","2022-11-15","xlsx(3)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\인증진행","3","1.4","2022-10-20","2022-10-24","xlsx(2)|hwp(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\SVC","3","0.09","2022-11-18","2022-11-18","xlsx(2)|txt(1)"
"C:\Users\hyun0\Documents\WAPL\포스코 캔디 유지보수\~BROMIUM","3","0","2022-10-24","2022-11-14","pdf(2)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\한기대\공문\재정리","3","0.07","2022-11-22","2022-11-22","pdf(2)|docx(1)"
"C:\Users\hyun0\Documents\WAPL\한기대\공문\재정리\~BROMIUM","3","0","2022-11-22","2022-11-22","pdf(2)|docx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src\assets","3","0.02","2026-06-29","2026-06-29","svg(2)|png(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\storage","3","0.01","2026-06-10","2026-06-12","ts(3)"
"C:\Users\hyun0\Desktop\강의자료\양정여고","3","28.33","2025-08-25","2025-08-25","hwp(1)|jpeg(1)|pptx(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\사전컨설팅","3","0.4","2022-11-14","2022-11-14","hwp(2)|zip(1)"
"C:\Users\hyun0\Desktop\강의자료\인천작전고","3","17.49","2025-07-09","2025-07-11","pdf(2)|zip(1)"
"C:\Users\hyun0\Downloads\SAM2","2","3.91","2022-03-28","2022-03-28","zip(2)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\인증진행\현행화","2","0.93","2022-10-26","2022-10-26","hwp(2)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\진행중\모바일보안성","2","3.27","2022-11-18","2022-11-18","hwp(1)|pdf(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\4번 이미지","2","0.02","2024-11-15","2024-11-15","png(2)"
"C:\Users\hyun0\Desktop\강의자료\251219_남양주화광중","2","0.17","2025-12-07","2025-12-07","hwp(1)|pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\public","2","0.01","2026-06-29","2026-06-29","svg(2)"
"C:\Users\hyun0\Documents\WAPL\수퍼앱소개용\~BROMIUM","2","0","2022-10-18","2022-10-19","pdf(2)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\3회\활용데이터\4번 이미지","2","2.08","2024-11-15","2024-11-15","png(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\data\tarot","2","0.01","2026-07-01","2026-07-01","ts(2)"
"C:\Users\hyun0\Documents\WAPL\수퍼앱정책","2","0.12","2022-10-18","2022-10-19","pptx(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\02_product_planning","2","0","2026-06-17","2026-06-17","md(2)"
"C:\Users\hyun0\Desktop\강의자료","2","4.42","2025-07-08","2025-09-01","hwp(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\00_governance_pm","2","0","2026-06-17","2026-06-17","md(2)"
"C:\Users\hyun0\Documents\WAPL\채용","2","15.12","2022-10-26","2022-11-03","xlsx(1)|zip(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\4장\2. 안면 인식 기술과 감정 분석\실전문제_문제\이미지","2","0.24","2024-11-15","2024-11-15","jpg(2)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영기획_사업계획\수정값","2","0.76","2022-10-26","2022-10-26","pptx(1)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\주간업무\~BROMIUM","2","0","2022-10-06","2022-10-18","docx(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\sources","2","0.01","2026-06-11","2026-06-12","ts(2)"
"C:\Users\hyun0\Desktop\강의자료\주안초","2","295.08","2025-10-19","2025-10-27","pdf(1)|pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\applied-preview","2","0","2026-06-30","2026-06-30","js(2)"
"C:\Users\hyun0\Documents\WAPL\다이어리\~BROMIUM","2","0","2022-11-03","2022-11-04","pdf(1)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\레가시","2","118.01","2022-06-26","2022-06-26","pptx(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\03_ux_ui_design","2","0","2026-06-17","2026-06-17","md(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\lib","2","0.03","2026-06-11","2026-06-11","ts(2)"
"C:\Users\hyun0\Documents\WAPL\사간정산\SVC","2","0.09","2022-10-06","2022-11-10","xlsx(2)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\KT SaaS","2","0.04","2022-11-18","2022-11-18","txt(1)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영정략보고\~BROMIUM","2","0","2022-10-13","2022-10-15","pdf(2)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\2회\활용데이터\5번 엑셀 데이터","2","0.02","2024-11-15","2024-11-15","xlsx(2)"
"C:\Users\hyun0\Desktop\강의자료\알티노교안","2","97.11","2025-12-08","2025-12-08","pptx(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\app","2","0","2026-06-08","2026-06-08","css(1)|svg(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus","2","0.04","2026-06-17","2026-06-17","md(1)|zip(1)"
"C:\Users\hyun0\Documents\파이선\chapter06","2","0","2016-01-14","2016-01-24","py(2)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\서울시교육청\모바일보안성","2","3.27","2022-11-18","2022-11-18","hwp(1)|pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2\app\lib","2","0","2026-06-05","2026-06-05","ts(2)"
"C:\Users\hyun0\Documents\파이선\chapter04\ch04\4-1avi","2","0","2015-11-11","2015-11-12","py(2)"
"C:\Users\hyun0\Documents\파이선\chapter04\ch04","2","0","2016-01-23","2016-01-23","py(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\01_game_design","2","0.01","2026-07-01","2026-07-01","md(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2\data","2","0.06","2026-06-05","2026-06-05","json(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src\calendar","2","0","2026-06-29","2026-06-29","ts(2)"
"C:\Users\hyun0\Documents\파이선\ch02","2","0","2016-01-21","2016-03-17","py(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src","2","0.01","2026-06-29","2026-06-29","css(2)"
"C:\Users\hyun0\Documents\WAPL\Sapify\~BROMIUM","2","0","2022-10-05","2022-10-17","docx(1)|pdf(1)"
"C:\Users\hyun0\Documents\카카오톡 받은 파일\파이썬전문가과정_코드작성실습과제","2","0.02","2024-06-11","2024-06-11","hwp(2)"
"C:\Users\hyun0\Documents\카카오톡 받은 파일\유비온-RC카\유비온-RC카","2","0.57","2024-06-11","2024-11-21","docx(1)|png(1)"
"C:\Users\hyun0\Documents\WAPL\충남대\~BROMIUM","2","0","2022-11-03","2022-11-07","pdf(1)|zip(1)"
"C:\Users\hyun0\Documents\WAPL\충남대\고객방문","2","0.11","2022-11-16","2022-11-16","pptx(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\03_ux_ui_design","2","0.01","2026-06-17","2026-06-17","md(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\02_product_planning","2","0","2026-06-17","2026-06-17","md(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\04_quality","2","0","2026-07-01","2026-07-01","md(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src\types","2","0","2026-06-29","2026-06-29","ts(2)"
"C:\Users\hyun0\Downloads\SAM3","2","4.06","2022-03-29","2022-03-29","zip(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\tests","2","0.01","2026-06-29","2026-06-29","ts(2)"
"C:\Users\hyun0\Documents\강의","2","48.78","2025-07-09","2025-07-09","pdf(1)|pptx(1)"
"C:\Users\hyun0\Documents\김현래\가계부","2","0.59","2026-07-01","2026-07-01","xlsx(2)"
"C:\Users\hyun0\Documents\WAPL\KB금융그룹","2","1.79","2022-11-04","2022-11-09","pptx(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\강의자료\260514_고양화정고","2","145.2","2026-05-13","2026-05-13","jpg(1)|pptx(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\~BROMIUM","2","0.01","2022-07-17","2023-10-13","pdf(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\00_governance_pm","2","0","2026-06-17","2026-06-17","md(2)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\양진우","1","0.82","2022-11-08","2022-11-08","zip(1)"
"C:\Users\hyun0\Documents\WAPL\SSL_Web도메인","1","0.25","2022-10-26","2022-10-26","pdf(1)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치\CS팀서칭","1","0.47","2022-11-02","2022-11-02","pdf(1)"
"C:\Users\hyun0\Downloads\SAM2\~BROMIUM","1","0","2022-03-28","2022-03-28","zip(1)"
"C:\Users\hyun0\Documents\WAPL\채용\SP팀JD\~BROMIUM","1","0","2022-11-02","2022-11-02","pdf(1)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex","1","0","2019-09-03","2019-09-03","txt(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\~BROMIUM","1","0","2022-11-18","2022-11-18","pdf(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\~BROMIUM","1","0","2022-11-21","2022-11-21","pdf(1)"
"C:\Users\hyun0\Downloads\징기스칸2","1","0.16","2022-03-28","2022-03-28","zip(1)"
"C:\Users\hyun0\Downloads\소상공인시장진흥공단_상가(상권)정보_20260331","1","0","2026-06-26","2026-06-26","txt(1)"
"C:\Users\hyun0\Documents\WAPL\장애대응","1","0.07","2022-11-08","2022-11-08","pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\04_requirements","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\WAPL Talk\인증준비","1","0.01","2022-11-03","2022-11-03","xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\WAPL Talk\~BROMIUM","1","0","2022-10-25","2022-10-25","xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\app","1","0","2026-06-17","2026-06-17","css(1)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\DOCS\SVN-specific manuals","1","0","2013-01-24","2013-01-24","html(1)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox","1","0.01","2022-11-26","2022-11-26","txt(1)"
"C:\Users\hyun0\Documents\WAPL\조직운영","1","0.01","2022-10-14","2022-10-14","docx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\01_business_strategy","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\SSL_Web도메인\~BROMIUM","1","0","2022-10-26","2022-10-26","pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\웹툰생성기","1","0","2026-06-09","2026-06-09","json(1)"
"C:\Users\hyun0\Documents\WAPL\채용\CS실인력서치","1","0.02","2022-11-11","2022-11-11","xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\아웃백","1","0","2022-11-18","2022-11-18","txt(1)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\FONTS","1","0","2014-01-25","2014-01-25","txt(1)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\SHADERS","1","0.02","2013-01-24","2013-01-24","txt(1)"
"C:\Users\hyun0\Documents\WAPL\제품소개\~BROMIUM","1","0","2022-11-17","2022-11-17","pdf(1)"
"C:\Users\hyun0\Documents\WAPL\참고용\~BROMIUM","1","0","2022-11-21","2022-11-21","pdf(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\신청서(SaaS표준, SaaS간편)\~BROMIUM","1","0","2022-11-14","2022-11-14","pdf(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\서울시교육청\연구본부확인사항들","1","0.09","2022-11-18","2022-11-18","pptx(1)"
"C:\Users\hyun0\Documents\WAPL\WAPL 홈","1","2.38","2022-10-31","2022-10-31","pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\12_legal_compliance","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\06_ai_data_security","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\한기대\공문\~BROMIUM","1","0","2022-10-28","2022-10-28","pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\99_archive","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\CSAP","1","0","2022-11-18","2022-11-18","txt(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\07_quality_assurance","1","0.01","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\5번 엑셀","1","0.01","2024-11-15","2024-11-15","xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\진행중\모바일보안성\~BROMIUM","1","0","2022-11-18","2022-11-18","pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\app\api\generated-images\[id]\confirm-and-publish","1","0","2026-06-08","2026-06-08","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\app\api\scenarios","1","0","2026-06-08","2026-06-08","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\data","1","0","2026-06-08","2026-06-08","json(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\tests\harness","1","0.01","2026-06-30","2026-06-30","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\tests","1","0","2026-06-30","2026-06-30","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\scripts","1","0","2026-06-30","2026-06-30","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\storage","1","0","2026-06-30","2026-06-30","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\tests","1","0","2026-06-08","2026-06-08","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\app","1","0","2026-06-09","2026-06-09","css(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\app\api\generate","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\app\api\generated-images","1","0","2026-06-08","2026-06-08","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\app\api\health","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\lib\storage","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\privacy","1","0","2026-06-30","2026-06-30","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\config","1","0","2026-06-30","2026-06-30","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\app","1","0.01","2026-06-11","2026-06-11","css(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\app\api\export","1","0","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\app\api\files\[...file]","1","0","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\src\types","1","0","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서","1","0.03","2026-06-10","2026-06-10","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app","1","0","2026-06-10","2026-06-10","css(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects","1","0","2026-06-12","2026-06-12","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\lib","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]","1","0","2026-06-12","2026-06-12","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2\public\placeholders","1","0.01","2026-06-05","2026-06-05","png(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\03_content","1","0","2026-07-01","2026-07-01","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\admin\auth\login","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\admin\auth\logout","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\admin\polls","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\admin\polls\[pollId]","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\admin\polls\[pollId]\close","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\polls\[pollId]","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\polls\[pollId]\comments","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\polls\[pollId]\results","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\app\api\polls\[pollId]\votes","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\prisma","1","0","2026-06-09","2026-06-09","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\02_development","1","0","2026-07-01","2026-07-01","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\김정윤","1","0.03","2026-06-19","2026-06-19","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\app","1","0","2026-06-05","2026-06-05","css(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\app\api","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\app\api\generate-content","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\app\api\regenerate-all","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\app\api\regenerate-image","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\app\api\regenerate-text","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\docs\05_implementation","1","0","2026-07-01","2026-07-01","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\lib\orchestrator","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\types","1","0","2026-06-05","2026-06-05","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2\app","1","0","2026-06-05","2026-06-05","css(1)"
